COD_PROC_URG|CPCU_CENTRO_CODIGO|CPCU_ACTIVO
22.42|002083|0
22.5|002083|0
22.50|002083|0
22.51|002083|0
22.52|002083|0
22.53|002083|0
22.6|002083|0
22.60|002083|0
22.61|002083|0
22.62|002083|0
22.63|002083|0
22.64|002083|0
22.7|002083|0
22.71|002083|0
22.79|002083|0
22.9|002083|0
23|002083|0
23.0|002083|0
23.01|002083|0
23.09|002083|0
23.1|002083|0
23.11|002083|0
23.19|002083|0
23.2|002083|0
23.3|002083|0
23.4|002083|0
23.41|002083|0
23.42|002083|0
23.43|002083|0
23.49|002083|0
23.5|002083|0
23.6|002083|0
23.7|002083|0
23.70|002083|0
23.71|002083|0
23.72|002083|0
23.73|002083|0
24|002083|0
24.0|002083|0
24.1|002083|0
24.11|002083|0
24.12|002083|0
24.19|002083|0
24.2|002083|0
24.3|002083|0
24.31|002083|0
24.32|002083|0
24.39|002083|0
24.4|002083|0
24.5|002083|0
24.6|002083|0
24.7|002083|0
24.8|002083|0
24.9|002083|0
24.91|002083|0
24.99|002083|0
25|002083|0
25.0|002083|0
25.01|002083|0
25.02|002083|0
25.09|002083|0
25.1|002083|0
25.2|002083|0
25.3|002083|0
25.4|002083|0
25.5|002083|0
25.51|002083|0
25.59|002083|0
25.9|002083|0
25.91|002083|0
25.92|002083|0
25.93|002083|0
25.94|002083|0
25.99|002083|0
26|002083|0
26.0|002083|0
26.1|002083|0
26.11|002083|0
26.12|002083|0
26.19|002083|0
26.2|002083|0
26.21|002083|0
26.29|002083|0
26.3|002083|0
26.30|002083|0
26.31|002083|0
26.32|002083|0
26.4|002083|0
26.41|002083|0
26.42|002083|0
26.49|002083|0
26.9|002083|0
26.91|002083|0
26.99|002083|0
27|002083|0
27.0|002083|0
27.1|002083|0
27.2|002083|0
27.21|002083|0
27.22|002083|0
27.23|002083|0
27.24|002083|0
27.29|002083|0
27.3|002083|0
27.31|002083|0
27.32|002083|0
27.4|002083|0
27.41|002083|0
27.42|002083|0
27.43|002083|0
27.49|002083|0
27.5|002083|0
27.51|002083|0
27.52|002083|0
27.53|002083|0
27.54|002083|0
27.55|002083|0
27.56|002083|0
27.57|002083|0
27.59|002083|0
27.6|002083|0
27.61|002083|0
27.62|002083|0
27.63|002083|0
27.69|002083|0
27.7|002083|0
27.71|002083|0
27.72|002083|0
27.73|002083|0
27.79|002083|0
27.9|002083|0
27.91|002083|0
27.92|002083|0
27.99|002083|0
28|002083|0
28.0|002083|0
28.1|002083|0
28.11|002083|0
28.19|002083|0
28.2|002083|0
28.3|002083|0
28.4|002083|0
28.5|002083|0
28.6|002083|0
28.7|002083|0
28.9|002083|0
28.91|002083|0
28.92|002083|0
28.99|002083|0
29|002083|0
29.0|002083|0
29.1|002083|0
29.11|002083|0
29.12|002083|0
29.19|002083|0
29.2|002083|0
29.3|002083|0
29.31|002083|0
29.32|002083|0
29.33|002083|0
29.39|002083|0
29.4|002083|0
29.5|002083|0
29.51|002083|0
29.52|002083|0
29.53|002083|0
29.54|002083|0
29.59|002083|0
29.9|002083|0
29.91|002083|0
29.92|002083|0
29.99|002083|0
30|002083|0
30.0|002083|0
30.01|002083|0
30.09|002083|0
30.1|002083|0
30.2|002083|0
30.21|002083|0
30.22|002083|0
30.29|002083|0
30.3|002083|0
30.4|002083|0
31|002083|0
31.0|002083|0
31.1|002083|0
31.2|002083|0
31.21|002083|0
31.29|002083|0
31.3|002083|0
31.4|002083|0
31.41|002083|0
31.42|002083|0
31.43|002083|0
31.44|002083|0
31.45|002083|0
31.48|002083|0
31.49|002083|0
31.5|002083|0
31.6|002083|0
31.61|002083|0
31.62|002083|0
31.63|002083|0
31.64|002083|0
31.69|002083|0
31.7|002083|0
31.71|002083|0
31.72|002083|0
31.73|002083|0
31.74|002083|0
31.75|002083|0
31.79|002083|0
31.9|002083|0
31.91|002083|0
31.92|002083|0
31.93|002083|0
31.94|002083|0
31.95|002083|0
31.98|002083|0
31.99|002083|0
32|002083|0
32.0|002083|0
32.01|002083|0
32.09|002083|0
32.1|002083|0
32.2|002083|0
32.21|002083|0
32.22|002083|0
32.28|002083|0
32.29|002083|0
32.3|002083|0
32.4|002083|0
32.5|002083|0
32.6|002083|0
32.9|002083|0
33|002083|0
33.0|002083|0
33.1|002083|0
33.2|002083|0
33.21|002083|0
33.22|002083|0
33.23|002083|0
33.24|002083|0
33.25|002083|0
33.26|002083|0
33.27|002083|0
33.28|002083|0
33.29|002083|0
33.3|002083|0
33.31|002083|0
33.32|002083|0
